time,open,high,low,close,volume
2022/06/15-09:45,4228.29,4267.97,4228.29,4266.73,7667551
2022/06/15-10:00,4266.74,4267.46,4236.01,4244.56,4860479
2022/06/15-10:15,4244.64,4259.6,4240.87,4257.96,3264749
2022/06/15-10:30,4257.96,4276.72,4253.84,4270.33,2799220
2022/06/15-10:45,4270.5,4284.38,4268.93,4277.47,2723427
2022/06/15-11:00,4277.49,4284.21,4267.95,4270.3,2184705
2022/06/15-11:15,4270.19,4289.58,4262.08,4289.2,1760284
2022/06/15-11:30,4288.86,4301.99,4282.3,4300.16,1823978
2022/06/15-13:15,4301.62,4329.08,4301.62,4322.57,3543852
2022/06/15-13:30,4322.53,4348.42,4322.28,4329.8,2981649
2022/06/15-13:45,4329.77,4338.08,4322.4,4338.08,2141099
2022/06/15-14:00,4338.07,4342.98,4330.44,4342.06,1885761
2022/06/15-14:15,4341.97,4341.97,4315.03,4323.09,1830145
2022/06/15-14:30,4323.14,4325.17,4310.76,4316.81,1666249
2022/06/15-14:45,4316.98,4318.6,4300.83,4302.97,1928911
2022/06/15-15:00,4302.86,4303.3,4278.22,4278.22,2914612
2022/06/16-09:45,4282.08,4302.92,4278.67,4285.57,6429261
2022/06/16-10:00,4285.71,4297.02,4275.24,4280.98,3716321
2022/06/16-10:15,4281.4,4293.77,4277.41,4278.65,2548138
2022/06/16-10:30,4278.33,4288.22,4266.92,4274.86,2293998
2022/06/16-10:45,4274.99,4286.76,4272.54,4286.5,1535917
2022/06/16-11:00,4286.44,4297.93,4286.44,4291.1,1562182
2022/06/16-11:15,4291.17,4294.47,4286.44,4291.12,1359173
2022/06/16-11:30,4291.27,4294.65,4283.21,4292.05,1193715
2022/06/16-13:15,4292.28,4293.45,4274.17,4274.17,1750835
2022/06/16-13:30,4273.98,4278.05,4270.09,4275.68,1397642
2022/06/16-13:45,4275.43,4275.52,4266.88,4267.17,1282181
2022/06/16-14:00,4266.76,4266.84,4249.04,4254.09,1962678
2022/06/16-14:15,4253.96,4254.21,4241.08,4254.21,1679680
2022/06/16-14:30,4254.31,4265.56,4254.31,4259.16,1196943
2022/06/16-14:45,4259.24,4262.06,4244.15,4246.59,1794951
2022/06/16-15:00,4246.61,4253.04,4246.6,4250.06,2019969
2022/06/17-09:45,4219.23,4249.66,4218.68,4247.94,4707594
2022/06/17-10:00,4248.86,4275.23,4248.62,4272.54,3221421
2022/06/17-10:15,4272.87,4288.78,4272.87,4280.39,2950136
2022/06/17-10:30,4280.47,4287.1,4264.95,4270.56,2339148
2022/06/17-10:45,4270.28,4279.26,4262.8,4266.29,1669954
2022/06/17-11:00,4266.33,4268.02,4230.45,4240.14,2164165
2022/06/17-11:15,4240.62,4248.01,4234.35,4246.01,1324489
2022/06/17-11:30,4246.14,4272.43,4245.82,4261.18,1175417
2022/06/17-13:15,4260.98,4282.26,4260.98,4281.81,1633790
2022/06/17-13:30,4282.01,4288.58,4276.9,4288.58,1729402
2022/06/17-13:45,4289.02,4309.39,4288.84,4309.39,2093156
2022/06/17-14:00,4309.58,4309.84,4296.4,4298.27,1794662
2022/06/17-14:15,4298.4,4303.59,4288.43,4303.54,1527339
2022/06/17-14:30,4303.23,4313.11,4301.38,4312.83,1512379
2022/06/17-14:45,4313.13,4318.77,4309.44,4309.73,2089679
2022/06/17-15:00,4309.77,4313.63,4308.06,4309.04,2734833
2022/06/20-09:45,4322.83,4334.46,4308.47,4323.66,6677481
2022/06/20-10:00,4324.06,4332.84,4303.24,4310.9,3954936
2022/06/20-10:15,4311.32,4317.87,4297.89,4316.58,2856420
2022/06/20-10:30,4316.71,4317.54,4305.09,4309.21,2346907
2022/06/20-10:45,4309.38,4332.57,4309.29,4331.97,2150413
2022/06/20-11:00,4331.94,4347.02,4331.0,4347.02,1997020
2022/06/20-11:15,4347.67,4354.37,4344.7,4353.87,1866793
2022/06/20-11:30,4353.96,4368.36,4333.22,4339.65,2113854
2022/06/20-13:15,4340.39,4348.3,4331.56,4332.92,1726012
2022/06/20-13:30,4332.65,4335.19,4322.44,4334.42,1447505
2022/06/20-13:45,4334.92,4343.64,4332.9,4343.13,1277048
2022/06/20-14:00,4342.78,4349.17,4340.2,4342.54,1312369
2022/06/20-14:15,4342.78,4344.84,4332.04,4333.74,1346117
2022/06/20-14:30,4333.72,4341.57,4333.72,4340.28,1217474
2022/06/20-14:45,4340.55,4342.67,4326.58,4327.94,1726825
2022/06/20-15:00,4327.64,4334.92,4327.64,4330.43,1939748
2022/06/21-09:45,4327.92,4337.88,4309.9,4331.71,4693085
2022/06/21-10:00,4331.65,4350.4,4322.93,4345.85,3092640
2022/06/21-10:15,4345.67,4355.5,4342.95,4348.83,2410134
2022/06/21-10:30,4348.93,4349.66,4325.09,4331.44,2216987
2022/06/21-10:45,4331.67,4336.78,4313.72,4313.72,1893620
2022/06/21-11:00,4313.27,4320.15,4309.62,4314.78,1646584
2022/06/21-11:15,4314.55,4329.35,4314.55,4329.06,1196984
2022/06/21-11:30,4329.12,4345.89,4329.12,4345.31,1484763
2022/06/21-13:15,4347.11,4357.34,4333.03,4333.03,1821458
2022/06/21-13:30,4333.1,4339.43,4324.41,4329.36,1321856
2022/06/21-13:45,4329.61,4331.18,4317.47,4324.58,1362076
2022/06/21-14:00,4324.53,4324.53,4303.72,4304.42,1566464
2022/06/21-14:15,4304.37,4310.97,4287.14,4292.05,2002259
2022/06/21-14:30,4292.03,4304.69,4290.06,4299.15,1463475
2022/06/21-14:45,4298.9,4328.13,4298.02,4326.36,1696854
2022/06/21-15:00,4326.78,4329.02,4323.11,4325.57,1847086
2022/06/22-09:45,4331.9,4333.18,4309.54,4309.7,4736423
2022/06/22-10:00,4309.76,4324.22,4304.07,4324.22,2868063
2022/06/22-10:15,4324.23,4329.44,4314.27,4318.65,2286153
2022/06/22-10:30,4317.6,4317.6,4306.78,4315.99,1945751
2022/06/22-10:45,4316.08,4324.33,4303.75,4305.86,1842219
2022/06/22-11:00,4305.87,4310.39,4302.12,4304.7,1458676
2022/06/22-11:15,4304.77,4304.77,4294.54,4298.83,1332894
2022/06/22-11:30,4298.83,4307.13,4291.5,4306.32,1074461
2022/06/22-13:15,4307.58,4314.07,4298.32,4309.39,1456497
2022/06/22-13:30,4309.3,4316.52,4307.04,4315.44,1376606
2022/06/22-13:45,4315.62,4317.18,4305.41,4311.78,1300907
2022/06/22-14:00,4311.64,4312.5,4296.25,4300.08,1286550
2022/06/22-14:15,4300.23,4303.61,4286.78,4287.96,1357171
2022/06/22-14:30,4287.9,4288.55,4273.53,4280.93,1770456
2022/06/22-14:45,4280.5,4283.05,4269.25,4269.38,1800632
2022/06/22-15:00,4269.5,4278.57,4269.5,4270.62,1972159
2022/06/23-09:45,4277.96,4300.2,4277.96,4291.68,4817092
2022/06/23-10:00,4291.18,4297.71,4275.64,4276.24,2872691
2022/06/23-10:15,4276.13,4286.58,4267.56,4279.58,2395517
2022/06/23-10:30,4279.75,4279.75,4260.9,4270.66,2130184
2022/06/23-10:45,4270.93,4283.24,4270.73,4282.17,1541707
2022/06/23-11:00,4281.94,4288.98,4281.84,4288.85,1504068
2022/06/23-11:15,4289.21,4292.97,4285.1,4291.25,1271989
2022/06/23-11:30,4291.2,4292.9,4289.37,4291.3,1285931
2022/06/23-13:15,4292.48,4302.24,4292.48,4294.83,1638137
2022/06/23-13:30,4294.67,4309.58,4294.67,4308.51,1646037
2022/06/23-13:45,4308.82,4330.02,4308.82,4326.03,2448394
2022/06/23-14:00,4325.84,4328.47,4314.65,4328.47,1653142
2022/06/23-14:15,4328.13,4334.79,4323.51,4330.42,1741730
2022/06/23-14:30,4330.08,4332.29,4327.18,4329.49,1517059
2022/06/23-14:45,4328.95,4340.47,4328.95,4338.49,1949283
2022/06/23-15:00,4338.68,4343.88,4335.78,4343.88,2301510
2022/06/24-09:45,4354.55,4359.04,4346.12,4351.81,5855518
2022/06/24-10:00,4351.9,4361.75,4347.86,4357.81,3325698
2022/06/24-10:15,4357.88,4377.41,4355.58,4376.11,2586228
2022/06/24-10:30,4376.05,4379.85,4363.8,4375.92,2517639
2022/06/24-10:45,4376.32,4380.98,4372.4,4377.09,2309548
2022/06/24-11:00,4377.17,4383.43,4367.82,4370.69,1832704
2022/06/24-11:15,4370.92,4379.89,4362.9,4378.75,1616808
2022/06/24-11:30,4378.9,4381.17,4366.52,4368.23,1617058
2022/06/24-13:15,4369.04,4382.25,4368.56,4380.44,1669524
2022/06/24-13:30,4380.55,4382.42,4364.94,4367.58,1580417
2022/06/24-13:45,4367.85,4378.5,4360.64,4377.98,1544364
2022/06/24-14:00,4378.11,4392.45,4378.09,4385.81,1692038
2022/06/24-14:15,4385.74,4397.48,4385.74,4395.84,1726181
2022/06/24-14:30,4396.06,4400.69,4395.04,4399.55,1657218
2022/06/24-14:45,4399.86,4399.88,4381.71,4386.11,1800215
2022/06/24-15:00,4386.06,4394.78,4385.64,4394.77,2274308
2022/06/27-09:45,4414.33,4444.28,4414.33,4440.14,7071448
2022/06/27-10:00,4439.81,4442.25,4421.98,4436.8,3908994
2022/06/27-10:15,4437.07,4444.38,4427.08,4438.16,3162703
